date,total_tests,positive_tests,college,url,ipeds_id,notes,day,week,state
2020-10-27,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,42,Indiana
2020-10-28,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,43,Indiana
2020-10-29,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,43,Indiana
2020-10-30,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,43,Indiana
2020-10-31,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,43,Indiana
2020-11-01,121.0,5.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,43,Indiana
2020-11-02,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,43,Indiana
2020-11-03,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,43,Indiana
2020-11-04,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,44,Indiana
2020-11-05,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,44,Indiana
2020-11-06,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,44,Indiana
2020-11-07,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,44,Indiana
2020-11-08,133.0,4.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,44,Indiana
2020-11-09,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,44,Indiana
2020-11-10,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,44,Indiana
2020-11-11,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,45,Indiana
2020-11-12,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,45,Indiana
2020-11-13,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,45,Indiana
2020-11-14,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,45,Indiana
2020-11-15,8.0,2.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,45,Indiana
2020-11-16,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,45,Indiana
2020-11-17,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,45,Indiana
2020-11-18,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,46,Indiana
2020-11-19,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,46,Indiana
2020-11-20,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,46,Indiana
2020-11-21,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,46,Indiana
2020-11-22,3.0,1.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,46,Indiana
2020-11-23,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,46,Indiana
2020-11-24,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,46,Indiana
2020-11-25,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,47,Indiana
2020-11-26,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,47,Indiana
2020-11-27,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,47,Indiana
2020-11-28,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,47,Indiana
2020-11-29,215.0,13.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,47,Indiana
2020-11-30,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,47,Indiana
2020-12-01,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,47,Indiana
2020-12-02,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,48,Indiana
2020-12-03,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,48,Indiana
2020-12-04,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,48,Indiana
2020-12-05,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,48,Indiana
2020-12-06,151.0,2.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,48,Indiana
2020-12-07,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,48,Indiana
2020-12-08,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,48,Indiana
2020-12-09,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,49,Indiana
2020-12-10,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Thursday,49,Indiana
2020-12-11,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Friday,49,Indiana
2020-12-12,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Saturday,49,Indiana
2020-12-13,112.0,2.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Sunday,49,Indiana
2020-12-14,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Monday,49,Indiana
2020-12-15,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Tuesday,49,Indiana
2020-12-16,0.0,0.0,Indiana University-East,https://www.iue.edu/covid/,151388,,Wednesday,50,Indiana
2020-08-01,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,30,Indiana
2020-08-02,1.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,30,Indiana
2020-08-03,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,30,Indiana
2020-08-04,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,30,Indiana
2020-08-05,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,31,Indiana
2020-08-06,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,31,Indiana
2020-08-07,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,31,Indiana
2020-08-08,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,31,Indiana
2020-08-09,2.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,31,Indiana
2020-08-10,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,31,Indiana
2020-08-11,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,31,Indiana
2020-08-12,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,32,Indiana
2020-08-13,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,32,Indiana
2020-08-14,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,32,Indiana
2020-08-15,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,32,Indiana
2020-08-16,12.0,4.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,32,Indiana
2020-08-17,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,32,Indiana
2020-08-18,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,32,Indiana
2020-08-19,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,33,Indiana
2020-08-20,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,33,Indiana
2020-08-21,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,33,Indiana
2020-08-22,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,33,Indiana
2020-08-23,4.0,1.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,33,Indiana
2020-08-24,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,33,Indiana
2020-08-25,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,33,Indiana
2020-08-26,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,34,Indiana
2020-08-27,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,34,Indiana
2020-08-28,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,34,Indiana
2020-08-29,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,34,Indiana
2020-08-30,133.0,2.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,34,Indiana
2020-08-31,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,34,Indiana
2020-09-01,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,34,Indiana
2020-09-02,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,35,Indiana
2020-09-03,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,35,Indiana
2020-09-04,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,35,Indiana
2020-09-05,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,35,Indiana
2020-09-06,231.0,1.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,35,Indiana
2020-09-07,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,35,Indiana
2020-09-08,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,35,Indiana
2020-09-09,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,36,Indiana
2020-09-10,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,36,Indiana
2020-09-11,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,36,Indiana
2020-09-12,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,36,Indiana
2020-09-13,107.0,1.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,36,Indiana
2020-09-14,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,36,Indiana
2020-09-15,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,36,Indiana
2020-09-16,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,37,Indiana
2020-09-17,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,37,Indiana
2020-09-18,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,37,Indiana
2020-09-19,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,37,Indiana
2020-09-20,186.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,37,Indiana
2020-09-21,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,37,Indiana
2020-09-22,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,37,Indiana
2020-09-23,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,38,Indiana
2020-09-24,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,38,Indiana
2020-09-25,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,38,Indiana
2020-09-26,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,38,Indiana
2020-09-27,211.0,4.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,38,Indiana
2020-09-28,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,38,Indiana
2020-09-29,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,38,Indiana
2020-09-30,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,39,Indiana
2020-10-01,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,39,Indiana
2020-10-02,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,39,Indiana
2020-10-03,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,39,Indiana
2020-10-04,205.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,39,Indiana
2020-10-05,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,39,Indiana
2020-10-06,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,39,Indiana
2020-10-07,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,40,Indiana
2020-10-08,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,40,Indiana
2020-10-09,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,40,Indiana
2020-10-10,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,40,Indiana
2020-10-11,347.0,4.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,40,Indiana
2020-10-12,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,40,Indiana
2020-10-13,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,40,Indiana
2020-10-14,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,41,Indiana
2020-10-15,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,41,Indiana
2020-10-16,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,41,Indiana
2020-10-17,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,41,Indiana
2020-10-18,343.0,3.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,41,Indiana
2020-10-19,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,41,Indiana
2020-10-20,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,41,Indiana
2020-10-21,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,42,Indiana
2020-10-22,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,42,Indiana
2020-10-23,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,42,Indiana
2020-10-24,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,42,Indiana
2020-10-25,345.0,10.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,42,Indiana
2020-10-26,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,42,Indiana
2020-10-27,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,42,Indiana
2020-10-28,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,43,Indiana
2020-10-29,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,43,Indiana
2020-10-30,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,43,Indiana
2020-10-31,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,43,Indiana
2020-11-01,339.0,6.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,43,Indiana
2020-11-02,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,43,Indiana
2020-11-03,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,43,Indiana
2020-11-04,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Wednesday,44,Indiana
2020-11-05,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Thursday,44,Indiana
2020-11-06,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Friday,44,Indiana
2020-11-07,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Saturday,44,Indiana
2020-11-08,308.0,5.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Sunday,44,Indiana
2020-11-09,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Monday,44,Indiana
2020-11-10,0.0,0.0,Indiana University-Kokomo,https://covid.iu.edu/dashboards/,151333,,Tuesday,44,Indiana
